repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
intel/compute-aggregation-layer,95,-1,-1,132,2059,39659,183164
intel/xpumanager,87,-1,-1,645,5090,59686,274898
intel/trustauthority-client-for-c,63,-1,-1,28,139,1060,6107
intel/gmmlib,22,-1,-1,342,1416,27008,79814
intel/libxcam,20,-1,-1,23,538,9701,70242
intel/ideep,14,-1,-1,302,1375,2426,23324
intel/double-batched-fft-library,13,-1,-1,3,182,2214,19719
intel/opencl-intercept-layer,10,-1,-1,227,426,3801,43021
intel/intel-graphics-compiler,10,-1,-1,96,1251,129881,922368
intel/pti-gpu,8,-1,-1,57,3660,2801,62073
intel/linux-sgx,8,-1,-1,126,992,151038,359255
intel/libvpl,8,-1,-1,141,992,34437,152323
intel/level-zero-raytracing-support,8,-1,-1,13,290,8846,20588
intel/neural-speed,7,-1,-1,110,592,8160,78299
intel/hexl,6,-1,-1,12,195,2325,14938
intel/IA-Hardware-Composer,6,-1,-1,4,117,6992,38368
intel/dptf,5,-1,-1,67,2346,47801,188779
intel/pcm,4,-1,-1,90,842,4190,39606
intel/DML,4,-1,-1,75,563,8534,31914
intel/compile-time-init-build,3,-1,-1,5,558,692,10998
intel/cm-cpu-emulation,3,-1,-1,4,110,8457,47845
intel/x86-simd-sort,2,-1,-1,0,87,610,9887
intel/cpp-std-extensions,2,-1,-1,5,490,61,9476
intel/cpp-baremetal-senders-and-receivers,2,-1,-1,6,516,55,9012
intel/compute-benchmarks,2,-1,-1,159,465,24497,64439
intel/SGX-TDX-DCAP-QuoteVerificationLibrary,2,-1,-1,21,357,12678,41530
intel/safe-arithmetic,1,-1,-1,0,75,190,4465
intel/cloud-client-ai-service-framework,1,-1,-1,1,15,1839,28976
intel/aubstream,1,-1,-1,6,144,1310,14771
intel/yarpgen,0,-1,-1,19,250,1234,9728
intel/thermal_daemon,0,-1,-1,35,361,2952,16044
intel/systemc-compiler,0,-1,-1,25,895,55770,208330
intel/pailliercryptolib,0,-1,-1,0,71,1440,6415
intel/oneAPI-Ultrasound-Beamforming-Library,0,-1,-1,3,24,2426,16662
intel/linux-npu-driver,0,-1,-1,1,99,4231,24930
intel/intel-qs,0,-1,-1,21,180,4647,16252
intel/gna,0,-1,-1,0,5,5726,50182
intel/generic-register-operation-optimizer,0,-1,-1,5,484,16,2291
intel/crypto-api-toolkit,0,-1,-1,4,219,21598,51335
intel/cpp-baremetal-concurrency,0,-1,-1,5,486,0,272
intel/FlexRAN-FEC-SDK-Modules,0,-1,-1,0,4,14848,48828
intel/BDTK,0,-1,-1,0,9,16107,68236
intel/xetla,-1,-1,-1,-1,-1,9263,36568
intel/xFasterTransformer,-1,-1,-1,-1,-1,157048,65124
intel/vpl-gpu-rt,-1,-1,-1,-1,-1,39430,1456760
intel/torch-xpu-ops,-1,-1,-1,-1,-1,601,11514
intel/torch-ccl,-1,-1,-1,-1,-1,527,3944
intel/tiny-dpcpp-nn,-1,-1,-1,-1,-1,10232,31954
intel/thin-layout-optimizer,-1,-1,-1,-1,-1,7820,42424
intel/stablediffusion-pipelines-cpp,-1,-1,-1,-1,-1,1130,207029
intel/ros_openvino_toolkit,-1,-1,-1,-1,-1,4329,9339
intel/ros2_openvino_toolkit,-1,-1,-1,-1,-1,3885,9683
intel/qat-plugin-rocksdb,-1,-1,-1,-1,-1,82,1129
intel/openvino-plugins-for-obs-studio,-1,-1,-1,-1,-1,479,4532
intel/openvino-plugins-ai-audacity,-1,-1,-1,-1,-1,742,7445
intel/opencl-clang,-1,-1,-1,-1,-1,380,1170
intel/npu-nn-cost-model,-1,-1,-1,-1,-1,5589,27717
intel/metrics-library,-1,-1,-1,-1,-1,12488,32631
intel/metrics-discovery,-1,-1,-1,-1,-1,17977,1409068
intel/media-analytics,-1,-1,-1,-1,-1,1413,8719
intel/lms,-1,-1,-1,-1,-1,33139,165138
intel/libaji_client,-1,-1,-1,-1,-1,6405,11334
intel/ippcp-plugin-rocksdb,-1,-1,-1,-1,-1,110,584
intel/intel-xpu-backend-for-triton,-1,-1,-1,-1,-1,36022,81268
intel/iaa-plugin-rocksdb,-1,-1,-1,-1,-1,20,563
intel/gvk,-1,-1,-1,-1,-1,8106,36823
intel/gits,-1,-1,-1,-1,-1,11805,163556
intel/fpga-runtime-for-opencl,-1,-1,-1,-1,-1,15352,78643
intel/compute-samples,-1,-1,-1,-1,-1,1230,16687
intel/compute-runtime,-1,-1,-1,-1,-1,68737,901412
intel/cm-compiler,-1,-1,-1,-1,-1,1646352,5615089
intel/cloud-streaming,-1,-1,-1,-1,-1,11885,41432
intel/cassian,-1,-1,-1,-1,-1,6702,43426
intel/ai-visual-inference-samples,-1,-1,-1,-1,-1,177,1912
intel/ad-rss-lib,-1,-1,-1,-1,-1,10910,51364
intel/OpenVINO-optimization-for-PointPillars,-1,-1,-1,-1,-1,266,724
intel/GPGMM,-1,-1,-1,-1,-1,5537,17630
